workspace_timestamp,flight_number,airline_iata,airline_name,scheduled_departure_utc,estimated_departure_utc,departure_terminal,departure_gate,status,destination_iata,destination_name,codeshare_status,is_operator,aircraft_model,aircraft_reg,unique_flight_id
2025-04-19 19:33:04.715221+00:00,AA 6240,AA,American,2025-04-19 17:33:00+00:00,2025-04-19 17:33:00+00:00,E,,Unknown,BPT,Beaumont/Port Arthur,IsCodeshared,False,Canadair reg jet 700,,AA-AA 6240-20250419-BPT
2025-04-19 19:33:04.715221+00:00,AA 1100,AA,American,2025-04-19 17:19:00+00:00,2025-04-19 17:33:00+00:00,,,Departed,BNA,Nashville,IsOperator,True,Boeing 737-800,N316PF,AA-AA 1100-20250419-BNA
2025-04-19 19:33:04.715221+00:00,AA 6444,AA,American,2025-04-19 17:33:00+00:00,2025-04-19 17:33:00+00:00,E,,Unknown,GGG,Longview,IsCodeshared,False,Canadair reg jet 700,,AA-AA 6444-20250419-GGG
2025-04-19 19:33:04.715221+00:00,AA 6284,AA,American,2025-04-19 17:34:00+00:00,2025-04-19 17:34:00+00:00,E,,Unknown,SPS,Wichita Falls,IsCodeshared,False,Canadair reg jet 700,,AA-AA 6284-20250419-SPS
2025-04-19 19:33:04.715221+00:00,AA 2651,AA,American,2025-04-19 17:34:00+00:00,2025-04-19 17:34:00+00:00,,,Expected,SJD,San José del Cabo,IsOperator,True,Airbus A321,N543UW,AA-AA 2651-20250419-SJD
2025-04-19 19:33:04.715221+00:00,AA 175,AA,American,2025-04-19 17:20:00+00:00,2025-04-19 17:34:00+00:00,,,Departed,HND,Tokyo,IsOperator,True,Boeing 787-8,N808AN,AA-AA 175-20250419-HND
2025-04-19 19:33:04.715221+00:00,AA 4956,AA,American,2025-04-19 17:34:00+00:00,2025-04-19 17:34:00+00:00,E,,Unknown,GRI,Grand Island,IsOperator,True,Canadair reg jet 700,,AA-AA 4956-20250419-GRI
2025-04-19 19:33:04.715221+00:00,AA 1111,AA,American,2025-04-19 17:20:00+00:00,2025-04-19 17:34:00+00:00,,,Departed,YYZ,Toronto,IsOperator,True,Boeing 737-800,N882NN,AA-AA 1111-20250419-YYZ
2025-04-19 19:33:04.715221+00:00,MQ 4122,MQ,Envoy Air,2025-04-19 17:35:00+00:00,2025-04-19 17:35:00+00:00,,,Expected,ILM,Wilmington,IsOperator,True,Embraer 175,N251NN,MQ-MQ 4122-20250419-ILM
2025-04-19 19:33:04.715221+00:00,AA 3109,AA,American,2025-04-19 17:20:00+00:00,2025-04-19 17:35:00+00:00,,,Expected,CZM,San Miguel de Cozumel,IsOperator,True,Boeing 737-800,N964AN,AA-AA 3109-20250419-CZM
2025-04-19 19:33:04.715221+00:00,AA 1781,AA,American,2025-04-19 17:35:00+00:00,2025-04-19 17:35:00+00:00,,,Expected,PHL,Philadelphia,IsOperator,True,Boeing 787-9,N825AA,AA-AA 1781-20250419-PHL
2025-04-19 19:33:04.715221+00:00,AA 4217,AA,American,2025-04-19 17:35:00+00:00,2025-04-19 17:35:00+00:00,,,Unknown,CMI,Champaign/Urbana,Unknown,False,Embraer 170,,AA-AA 4217-20250419-CMI
2025-04-19 19:33:04.715221+00:00,AA 2625,AA,American,2025-04-19 17:35:00+00:00,2025-04-19 17:35:00+00:00,,,Expected,MTY,Monterrey,IsOperator,True,Airbus A319,N772XF,AA-AA 2625-20250419-MTY
2025-04-19 19:33:04.715221+00:00,AA 1863,AA,American,2025-04-19 17:30:00+00:00,2025-04-19 17:35:00+00:00,,,Expected,IAD,Washington,IsOperator,True,Boeing 737-800,N947AN,AA-AA 1863-20250419-IAD
2025-04-19 19:33:04.715221+00:00,AA 4122,AA,American,2025-04-19 17:35:00+00:00,2025-04-19 17:35:00+00:00,,,Unknown,ILM,Wilmington,Unknown,False,Embraer 175,,AA-AA 4122-20250419-ILM
2025-04-19 19:33:04.715221+00:00,AA 2609,AA,American,2025-04-19 17:25:00+00:00,2025-04-19 17:37:00+00:00,,,Departed,SAT,San Antonio,IsOperator,True,Airbus A321,N557UW,AA-AA 2609-20250419-SAT
2025-04-19 19:33:04.715221+00:00,F9 3986,F9,Frontier,2025-04-19 17:37:00+00:00,2025-04-19 17:37:00+00:00,E,,Expected,PHL,Philadelphia,IsOperator,True,Airbus A321 NEO,N622FR,F9-F9 3986-20250419-PHL
2025-04-19 19:33:04.715221+00:00,AA 2117,AA,American,2025-04-19 17:25:00+00:00,2025-04-19 17:37:00+00:00,,,Departed,MCO,Orlando,IsOperator,True,Airbus A321,N585UW,AA-AA 2117-20250419-MCO
2025-04-19 19:33:04.715221+00:00,AA 4953,AA,American,2025-04-19 17:37:00+00:00,2025-04-19 17:37:00+00:00,E,,Unknown,SWO,Stillwater,IsOperator,True,Canadair reg jet 700,,AA-AA 4953-20250419-SWO
2025-04-19 19:33:04.715221+00:00,MQ 4230,MQ,Envoy Air,2025-04-19 17:21:00+00:00,2025-04-19 17:38:00+00:00,,,Departed,TRI,Bristol/Johnson/Kingsport,IsOperator,True,Embraer 175,N273NN,MQ-MQ 4230-20250419-TRI
2025-04-19 19:33:04.715221+00:00,MQ 3509,MQ,Envoy Air,2025-04-19 17:25:00+00:00,2025-04-19 17:38:00+00:00,,,Departed,AGS,Augusta,IsOperator,True,Embraer 175,N257NN,MQ-MQ 3509-20250419-AGS
2025-04-19 19:33:04.715221+00:00,AA 3458,AA,American,2025-04-19 17:39:00+00:00,2025-04-19 17:39:00+00:00,,,Unknown,BRO,Brownsville,Unknown,False,Embraer 175,,AA-AA 3458-20250419-BRO
2025-04-19 19:33:04.715221+00:00,AA 1504,AA,American,2025-04-19 17:28:00+00:00,2025-04-19 17:39:00+00:00,,,Departed,CAE,Columbia,IsOperator,True,Airbus A319,N822AW,AA-AA 1504-20250419-CAE
2025-04-19 19:33:04.715221+00:00,MQ 3633,MQ,Envoy Air,2025-04-19 17:26:00+00:00,2025-04-19 17:40:00+00:00,,,Departed,HOU,Houston,IsOperator,True,Embraer 175,N249NN,MQ-MQ 3633-20250419-HOU
2025-04-19 19:33:04.715221+00:00,AA 1230,AA,American,2025-04-19 16:27:00+00:00,2025-04-19 17:40:00+00:00,,,Departed,ABQ,The Duke City,IsOperator,True,Airbus A320,N119US,AA-AA 1230-20250419-ABQ
2025-04-19 19:33:04.715221+00:00,AA 1978,AA,American,2025-04-19 17:30:00+00:00,2025-04-19 17:40:00+00:00,,,Expected,DCA,Washington,IsOperator,True,Boeing 737-800,N836NN,AA-AA 1978-20250419-DCA
2025-04-19 19:33:04.715221+00:00,AA 3352,AA,American,2025-04-19 17:40:00+00:00,2025-04-19 17:40:00+00:00,,,Unknown,MFE,Mc Allen,Unknown,False,Embraer 175,,AA-AA 3352-20250419-MFE
2025-04-19 19:33:04.715221+00:00,MQ 3458,MQ,Envoy Air,2025-04-19 17:39:00+00:00,2025-04-19 17:41:00+00:00,,,Departed,BRO,Brownsville,IsOperator,True,Embraer 175,N321JS,MQ-MQ 3458-20250419-BRO
2025-04-19 19:33:04.715221+00:00,AA 1048,AA,American,2025-04-19 17:41:00+00:00,2025-04-19 17:41:00+00:00,,,Expected,BOS,Boston,IsOperator,True,Airbus A321,N979UY,AA-AA 1048-20250419-BOS
2025-04-19 19:33:04.715221+00:00,AA 3517,AA,American,2025-04-19 17:42:00+00:00,2025-04-19 17:42:00+00:00,,,Unknown,BMI,Bloomington/Normal,Unknown,False,Embraer 170,,AA-AA 3517-20250419-BMI
2025-04-19 19:33:04.715221+00:00,AA 1070,AA,American,2025-04-19 17:35:00+00:00,2025-04-19 17:42:00+00:00,,,Departed,TPA,Tampa,IsOperator,True,Airbus A321,N559UW,AA-AA 1070-20250419-TPA
2025-04-19 19:33:04.715221+00:00,AA 1685,AA,American,2025-04-19 17:19:00+00:00,2025-04-19 17:42:00+00:00,,,Departed,PHX,Phoenix,IsOperator,True,Airbus A321 NEO,N470AN,AA-AA 1685-20250419-PHX
2025-04-19 19:33:04.715221+00:00,AA 3285,AA,American,2025-04-19 16:00:00+00:00,2025-04-19 17:42:00+00:00,,,Expected,LAS,Las Vegas,IsOperator,True,Airbus A321,N554UW,AA-AA 3285-20250419-LAS
2025-04-19 19:33:04.715221+00:00,AA 420,AA,American,2025-04-19 17:36:00+00:00,2025-04-19 17:43:00+00:00,,,Departed,DEN,Denver,IsOperator,True,Boeing 737-800,N937AN,AA-AA 420-20250419-DEN
2025-04-19 19:33:04.715221+00:00,AA 1131,AA,American,2025-04-19 15:40:00+00:00,2025-04-19 17:43:00+00:00,,,Departed,AUA,Oranjestad,IsOperator,True,Airbus A321 NEO,N414AL,AA-AA 1131-20250419-AUA
2025-04-19 19:33:04.715221+00:00,OO 6448,OO,SkyWest Airlines,2025-04-19 17:29:00+00:00,2025-04-19 17:44:00+00:00,,,Departed,SBN,South Bend,IsOperator,True,Canadair CRJ-701ER,N766SK,OO-OO 6448-20250419-SBN
2025-04-19 19:33:04.715221+00:00,AA 2635,AA,American,2025-04-19 17:35:00+00:00,2025-04-19 17:45:00+00:00,,,Departed,ONT,Ontario,IsOperator,True,Airbus A321,N927UW,AA-AA 2635-20250419-ONT
2025-04-19 19:33:04.715221+00:00,AA 2207,AA,American,2025-04-19 17:20:00+00:00,2025-04-19 17:45:00+00:00,,,Departed,CUN,Cancún,IsOperator,True,Airbus A321 (Sharklets),N119NN,AA-AA 2207-20250419-CUN
2025-04-19 19:33:04.715221+00:00,MQ 3642,MQ,Envoy Air,2025-04-19 16:07:00+00:00,2025-04-19 17:46:00+00:00,,,Departed,LIT,Little Rock,IsOperator,True,Embraer 175,N271NN,MQ-MQ 3642-20250419-LIT
